ID	Inglés
1	Press any key to start
2	Are you sure you want to exit the game?
3	Yes
4	No
5	Attack
6	Move
7	Enemy
8	Insight
9	Done
10	Cancel
11	Equip
12	Charm
13	Magic
14	Rest
15	Level
16	Learn
17	Armor
18	Weapon
19	Health
20	Stress
21	Roll
22	Return
23	Accept
24	PHY
25	REF
26	LOR
27	CHA
28	Physique
29	Athletics
30	Constitution
31	Medicine
32	Melee
33	Vibes
34	Reflex
35	Accuracy
36	Acrobatics
37	Mischief
38	Perception
39	Touch
40	Lore
41	Arcanum
42	Beasts
43	Dream
44	Dungeons
45	Nature
46	Charisma
47	Anima
48	Authority
49	Drama
50	Kinship
51	Passion
52	Bleed
53	Blinded
54	Bruised
55	Burning
56	Confused
57	Cursed
58	Deafened
59	Death
60	Devoured
61	Drowning
62	Grappled
63	Horrified
64	Invisible
65	Linked
66	Mournful
67	Oiled
68	Paralyzed
69	Passenger
70	Poisoned
71	Possession
72	Prone
73	Rage
74	Scarred
75	Sleeping
76	Suffocating
77	Major Action
78	Minor Action
79	Reaction
80	Not Available
81	Bloody Skill
82	Gore Arts
83	Demon Hands
84	Songs
85	Draconic Words
86	Summon
87	Scars
88	Psychic Powers
89	Vampirism
90	Necromancy
91	Companion
92	Aid
93	Shadow
94	Druidic
95	Sorcery
96	Magic
97	Jinxering
98	A
99	E
100	Choose a language
101	English
102	Español
103	Русский
104	NULL
105	NULL
106	NULL
107	NULL
108	NULL
109	NULL
110	NULL
111	NULL
112	NULL
113	NULL
114	NULL
115	NULL
116	NULL
117	NULL
118	NULL
119	NULL
120	NULL
121	NULL
122	General volume
123	SFX volume
124	Music volume
125	Mute SFXs
126	Mute music
127	NULL
128	NULL
129	NULL
130	NULL
131	NULL
132	NULL
133	NULL
134	NULL
135	NULL
136	NULL
137	NULL
138	NULL
139	NULL
140	NULL
141	NULL
142	NULL
143	NULL
144	NULL
145	NULL
146	NULL
147	NULL
148	NULL
149	NULL
150	NULL
151	NULL
152	NULL
153	NULL
154	NULL
155	NULL
156	NULL
157	NULL
158	NULL
159	NULL
160	NULL
161	NULL
162	NULL
163	NULL
164	NULL
165	NULL
166	NULL
167	NULL
168	NULL
169	NULL
170	NULL
171	NULL
172	NULL
173	NULL
174	NULL
175	NULL
176	NULL
177	NULL
178	NULL
179	NULL
180	NULL
181	NULL
182	NULL
183	NULL
184	NULL
185	NULL
186	NULL
187	NULL
188	NULL
189	NULL
190	NULL
191	NULL
192	NULL
193	NULL
194	NULL
195	NULL
196	NULL
197	NULL
198	NULL
199	NULL
200	Once upon a time…
201	Two gods fought each other in your sky
202	The god of love...
203	And the god of death...
204	Two great and powerful foxes who bit and tore with gnarled maws.
205	Until one day a fatal blow was struck on death and she curled, defeated.
206	Now there is but one god.
207	Our indignant and vicious god who bleeds red between the stars.
208	With love the victor, and death defeated, spirits are no longer led to their proper rest.
209	The dead rise and wander under her misshapen body.
210	Empty vessels remain where souls once were.
211	Bones refuse to settle.
212	Spirits twist and churn into beasts...
213	Destroying all in their path...
214	Seeking an end to their suffering.
215	We pray for love, for she is all that stands before annihilation.
216	Sometimes those that love are stained red.
217	Kissed by those rabid and endless fangs.
218	They are changed wondrous by their passion.
219	Molded by their supernatural devotion.
220	Gifted with otherworldly power.
221	These folk are the sirens amongst the twilight sea.
222	The only hope for a spirit to close its eyes.
223	Songbirds.
224	What does it feel to wake up surrounded by a sea of corpses?
225	Who's there?!
226	Friends...
227	Family...
228	Fools...
229	All reduced to minced flesh, but unable to die...
230	Is this Jigoku?...
231	I don't fear you demon!
232	If for my karma, my destiny is to live in Arbuda...
233	So it'll be!
234	You fool...
235	Death is long forgotten.
236	And I've been searching for you...
237	Rin...
238	You know me?!
239	What do you know about me?!
240	Some sort of fate brought me to you.
241	Do not dissapoint me.
242	Now...
243	Let me read you what the future departs...
244	dummy
245	dummy
246	dummy
247	dummy
248	dummy
249	dummy
250	dummy
251	dummy
252	dummy
253	dummy
254	dummy
255	dummy
256	dummy
257	dummy
258	dummy
259	dummy
260	dummy
261	dummy
