ID	Inglés
1	\x50\x72\x65\x73\x73\x0\x25\x63\x0\x74\x6f\x0\x73\x74\x61\x72\x74
2	\x41\x72\x65\x0\x79\x6f\x75\x0\x73\x75\x72\x65\x0\x79\x6f\x75\x0\x77\x61\x6e\x74\x0\x74\x6f\x0\x65\x78\x69\x74\x0\x74\x68\x65\x0\x67\x61\x6d\x65\x3f
3	\x59\x65\x73
4	\x4e\x6f
5	
6	
7	
8	
200	\x4f\x6e\x63\x65\x0\x75\x70\x6f\x6e\x0\x61\x0\x74\x69\x6d\x65\x2026
201	\x54\x77\x6f\x0\x67\x6f\x64\x73\x0\x66\x6f\x75\x67\x68\x74\x0\x65\x61\x63\x68\x0\x6f\x74\x68\x65\x72\x0\x69\x6e\x0\x79\x6f\x75\x72\x0\x73\x6b\x79
202	\x54\x68\x65\x0\x67\x6f\x64\x0\x6f\x66\x0\x6c\x6f\x76\x65\x2e\x2e\x2e
203	\x41\x6e\x64\x0\x74\x68\x65\x0\x67\x6f\x64\x0\x6f\x66\x0\x64\x65\x61\x74\x68\x2e\x2e\x2e
204	\x54\x77\x6f\x0\x67\x72\x65\x61\x74\x0\x61\x6e\x64\x0\x70\x6f\x77\x65\x72\x66\x75\x6c\x0\x66\x6f\x78\x65\x73\x0\x77\x68\x6f\x0\x62\x69\x74\x0\x61\x6e\x64\x0\x74\x6f\x72\x65\x0\x77\x69\x74\x68\x0\x67\x6e\x61\x72\x6c\x65\x64\x0\x6d\x61\x77\x73\x2e
205	\x55\x6e\x74\x69\x6c\x0\x6f\x6e\x65\x0\x64\x61\x79\x0\x61\x0\x66\x61\x74\x61\x6c\x0\x62\x6c\x6f\x77\x0\x77\x61\x73\x0\x73\x74\x72\x75\x63\x6b\x0\x6f\x6e\x0\x64\x65\x61\x74\x68\x0\x61\x6e\x64\x0\x73\x68\x65\x0\x63\x75\x72\x6c\x65\x64\x2c\x0\x64\x65\x66\x65\x61\x74\x65\x64\x2e
206	\x4e\x6f\x77\x0\x74\x68\x65\x72\x65\x0\x69\x73\x0\x62\x75\x74\x0\x6f\x6e\x65\x0\x67\x6f\x64\x2e
207	\x4f\x75\x72\x0\x69\x6e\x64\x69\x67\x6e\x61\x6e\x74\x0\x61\x6e\x64\x0\x76\x69\x63\x69\x6f\x75\x73\x0\x67\x6f\x64\x0\x77\x68\x6f\x0\x62\x6c\x65\x65\x64\x73\x0\x72\x65\x64\x0\x62\x65\x74\x77\x65\x65\x6e\x0\x74\x68\x65\x0\x73\x74\x61\x72\x73\x2e
208	\x57\x69\x74\x68\x0\x6c\x6f\x76\x65\x0\x74\x68\x65\x0\x76\x69\x63\x74\x6f\x72\x2c\x0\x61\x6e\x64\x0\x64\x65\x61\x74\x68\x0\x64\x65\x66\x65\x61\x74\x65\x64\x2c\x0\x73\x70\x69\x72\x69\x74\x73\x0\x61\x72\x65\x0\x6e\x6f\x0\x6c\x6f\x6e\x67\x65\x72\x0\x6c\x65\x64\x0\x74\x6f\x0\x74\x68\x65\x69\x72\x0\x70\x72\x6f\x70\x65\x72\x0\x72\x65\x73\x74\x2e
209	\x54\x68\x65\x0\x64\x65\x61\x64\x0\x72\x69\x73\x65\x0\x61\x6e\x64\x0\x77\x61\x6e\x64\x65\x72\x0\x75\x6e\x64\x65\x72\x0\x68\x65\x72\x0\x6d\x69\x73\x73\x68\x61\x70\x65\x6e\x0\x62\x6f\x64\x79\x2e
210	\x45\x6d\x70\x74\x79\x0\x76\x65\x73\x73\x65\x6c\x73\x0\x72\x65\x6d\x61\x69\x6e\x0\x77\x68\x65\x72\x65\x0\x73\x6f\x75\x6c\x73\x0\x6f\x6e\x63\x65\x0\x77\x65\x72\x65\x2e
